O*NET-SOC Code,Title,ANALYTICAL,Problem Sensitivity,Deductive Reasoning,Inductive Reasoning,Innovation,Analytical Thinking,Critical Thinking,Active Learning,Complex Problem Solving,"Judging the Qualities of Things, Services, or People",Analyzing Data or Information,Making Decisions and Solving Problems,Thinking Creatively
29-1067.00,Surgeons,1,6,5.12,5.62,3.75,4.31,4.88,5,4.75,4.37,5.49,6.53,4.67
29-1069.01,Allergists and Immunologists,NA,5.12,4.62,4.88,3.33,4.58,4.25,4.62,4.38,4.55,5.15,6.25,4.68
29-1069.02,Dermatologists,NA,5,4.88,5.5,3.78,4.42,4.25,4.12,3.62,3.74,3.93,5.09,2.77
29-1069.03,Hospitalists,NA,5.25,5,5.25,2.84,4.24,4.5,4.5,4.12,3.88,4.76,5.64,3.72
29-1069.04,Neurologists,NA,5.75,5,5.5,3.77,4.49,4.88,4.62,4.62,5.56,6.14,6.48,5.06
29-1069.05,Nuclear Medicine Physicians,NA,5.5,5.12,5.38,3.09,4.48,4.88,4.62,4.25,4.35,5.09,5.45,4.57
29-1069.06,Ophthalmologists,NA,5.5,5,5.5,3.7,4.46,4.88,4.38,4.25,4.7,5.75,6.32,4.84
29-1069.07,Pathologists,NA,5.62,5.25,5.88,3.56,4.89,4.62,4.62,4.5,4.13,5.56,6.28,4.48
29-1069.08,Physical Medicine and Rehabilitation Physicians,NA,5,4.62,5,3.89,4.54,4.62,4.25,4.12,5.27,4.44,5.89,4.52
29-1069.09,Preventive Medicine Physicians,NA,5.75,5,5.62,3.61,4.64,5,4.88,4.88,4.04,5.57,5.74,4.64
29-1069.10,Radiologists,NA,4.88,4.38,4.5,3.51,4.28,4.5,4,4,5.21,4.57,5.88,3.98
29-1069.11,Sports Medicine Physicians,0,5.12,4.75,4.88,3.83,4.35,4.5,4.38,4,4.75,5.96,6.6,4.81
29-1069.12,Urologists,NA,5.25,4.62,5.12,4.08,4.91,4.12,3.88,4.38,4.26,5.08,5.78,4.26
29-1071.00,Physician Assistants,NA,4.88,4.38,4.62,3.3,4.25,4.5,4.12,3.62,3.7,4.75,6.1,4
29-1071.01,Anesthesiologist Assistants,NA,4.12,3.88,3.88,3.33,4.06,3.75,3.62,3.38,4.44,4.73,5.35,4.27
29-1081.00,Podiatrists,NA,5.38,4.75,5.12,3.71,4.29,4.25,4.75,4,3.39,4.13,5.37,3.07
29-1122.00,Occupational Therapists,NA,4,4,4,3.9,4.1,4.12,4,3.62,3.57,3.67,4.9,4.67
29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",NA,4,3.88,3.88,4.12,3.88,4,3.75,3.25,3.28,3.12,4.46,4.08
29-1123.00,Physical Therapists,NA,4.25,4.25,4.38,3.84,4.53,3.88,3.38,3.38,3.89,3.86,4.81,4.5
29-1124.00,Radiation Therapists,NA,3.88,3.88,3.25,3.69,4.11,3.75,3,3,4.56,4.36,5.25,3.54
29-1125.00,Recreational Therapists,NA,4,4,4,4.42,3.88,4,3.38,3.5,3.54,3.23,4.46,5.12
29-1125.01,Art Therapists,NA,4.12,4,3.88,3.86,3.52,4.12,3.88,3.5,3.62,3.1,4.33,5.65
29-1125.02,Music Therapists,NA,4.12,3.75,3.88,4.2,3.89,4,3.5,3.38,3.36,3.59,4.43,5.5
29-1126.00,Respiratory Therapists,NA,4,3.75,3.88,3.82,4.45,4,3.62,3.12,3.83,4.71,4.83,3.39
29-1127.00,Speech-Language Pathologists,NA,4.25,4,4.25,3.72,3.95,4,4,3.75,3.25,4.24,4.61,4.2
29-1128.00,Exercise Physiologists,NA,4.38,4.25,4.5,3.57,3.79,4,3.75,3.5,3.57,4.33,4.58,4.62
29-1131.00,Veterinarians,NA,5.12,4.38,4.75,3.44,4.34,4.25,4,3.38,3.68,4.55,5.61,3.72
29-1141.00,Registered Nurses,NA,5,4.12,4.88,3.72,4.3,4,3.75,3.25,4.18,3.36,4.9,3.69
29-1141.01,Acute Care Nurses,NA,4.75,4,4,3.5,4.11,4,3.88,3.75,3.48,4.37,5.48,3.74
29-1141.02,Advanced Practice Psychiatric Nurses,NA,4.75,4.12,4.25,4,4.48,4,4,3.38,4.86,5.34,5.72,4.97
29-1141.03,Critical Care Nurses,NA,4.88,4,4,3.65,4.5,4,4,3.38,3.4,4.25,5.05,3.3
29-1141.04,Clinical Nurse Specialists,NA,4.38,4,4,4.19,4.15,4.12,4,3.5,5.04,5.27,5.54,5.08
29-1151.00,Nurse Anesthetists,NA,5,4.12,4.12,3.93,4.65,4,3.62,4,3.69,5.07,6.23,4.37
29-1161.00,Nurse Midwives,0,5,4.25,4.12,3.14,4.31,4.25,4.12,3.62,4.08,4.89,5.7,4.08
29-1171.00,Nurse Practitioners,NA,5.12,4.25,4.88,3.6,4.47,4.38,4.12,4,4.2,4.87,5.43,4.1
29-1181.00,Audiologists,NA,5,4.38,4.75,2.87,3.83,4.25,4.38,3.75,3.37,3.27,4.66,3
29-1199.01,Acupuncturists,0,4,4,4.25,3.79,3.95,3.88,3.5,3.25,3.48,3.54,4.59,4.72
29-1199.04,Naturopathic Physicians,NA,5.25,4.88,5.25,3.62,4.33,4.38,4.38,3.88,3.38,4.71,5.33,4.67
29-1199.05,Orthoptists,NA,4.88,4.25,4.62,3.55,4.2,4,3.88,3.88,2.7,4.15,5.15,3.6
29-2011.00,Medical and Clinical Laboratory Technologists,NA,4.12,4,4,3.06,4.57,4,3.88,3.38,4.16,4.67,4.68,3.19
29-2011.01,Cytogenetic Technologists,1,4.12,4.12,4.12,2.8,3.96,3.62,3.38,3.25,3.5,4.2,4.4,2.64
29-2011.02,Cytotechnologists,NA,4.12,3.75,3.88,2.62,4,3.62,3.5,3.12,3.58,4.31,4.81,2.27
29-2011.03,Histotechnologists and Histologic Technicians,NA,3.88,3.12,3,3.35,3.88,3.25,3,3.12,3.12,3.08,4.15,3.08
29-2012.00,Medical and Clinical Laboratory Technicians,NA,3.75,3,3.12,3.26,4.43,3.38,3.12,3,3.4,4.73,5.3,3.71
29-2021.00,Dental Hygienists,NA,4,3.25,3.5,3.27,3.3,3.38,3.12,3,3.31,2.94,4.1,3.17
29-2031.00,Cardiovascular Technologists and Technicians,NA,4.12,3.88,3.88,3.3,3.88,3.75,3.38,3.12,3.39,3.89,3.99,3.19
29-2032.00,Diagnostic Medical Sonographers,NA,3.5,3.38,3.38,3.64,4.04,3.5,3.12,3,3.09,4.01,4.51,3.23
29-2033.00,Nuclear Medicine Technologists,NA,3.88,3.5,3.5,3.57,4.06,3.62,3.12,3,3.39,3.2,3.92,3.13
29-2034.00,Radiologic Technologists,NA,4,3.5,3.38,3.62,3.64,3.62,3,2.88,3.37,3.61,4.41,4.23
29-2035.00,Magnetic Resonance Imaging Technologists,NA,3.25,3.62,3.62,3.52,3.78,3.62,3,3.12,3.38,3.54,4.31,3.73
29-2041.00,Emergency Medical Technicians and Paramedics,NA,4.12,4,4,3.7,4.18,4,4,3.25,3.65,3.5,5.06,3.53
29-2051.00,Dietetic Technicians,NA,3.12,3.25,3.12,2.99,3,3.25,3,3,4.37,3.42,3.58,3.55
29-2052.00,Pharmacy Technicians,NA,3.12,3.38,3,3.1,3.36,3.62,3,2.62,2.33,3.36,3.61,2.95
29-2053.00,Psychiatric Technicians,NA,4,4,3.88,3.31,3.54,3.88,3.25,3.25,3.65,4.56,4.58,3.69
29-2054.00,Respiratory Therapy Technicians,NA,4,3.75,3.75,3.63,3.83,3.62,3.62,2.88,4.52,3.78,5.54,4.13
29-2055.00,Surgical Technologists,NA,3.75,3.38,3.12,3.75,3.82,3.12,3,3,4.23,3.12,4.39,3.44
29-2056.00,Veterinary Technologists and Technicians,NA,4,3.75,3.88,3.45,3.55,3.88,3.12,3,2.71,3.83,3.85,2.71
29-2057.00,Ophthalmic Medical Technicians,NA,3.5,3.38,3.25,3.22,3.83,3.12,3,2.62,2.78,3.17,4.43,2.65
29-2061.00,Licensed Practical and Licensed Vocational Nurses,NA,4,3.75,3.75,3.73,4.16,4,3.12,3.12,3.72,3.78,4.84,3.29
29-2071.00,Medical Records and Health Information Technicians,NA,2.88,3.12,2.88,3.47,3.9,2.88,2.5,2.62,2.14,3.73,3.34,3.03
29-2081.00,"Opticians, Dispensing",NA,3,3.25,3.12,3.69,3.96,3.62,2.88,2.88,4.04,3.81,4.48,3.63
29-2091.00,Orthotists and Prosthetists,NA,4,4.12,4,4.03,4.28,4,4.12,3.88,4.12,3.64,4.91,4.91
29-2092.00,Hearing Aid Specialists,NA,3.38,3.25,3.38,3.92,4.15,3.75,3.38,3.25,3.81,4.75,5.1,4.65
29-2099.01,Neurodiagnostic Technologists,NA,4,3.88,3.88,3.38,4.18,3.88,3.38,3,3.71,4.62,4.62,3.12
29-2099.05,Ophthalmic Medical Technologists,NA,3.75,3.38,3.62,2.89,3.44,3.75,3,2.75,2.48,3.82,4,2.64
29-2099.06,Radiologic Technicians,NA,3.62,3.25,3.25,3.78,3.67,3.12,3.12,2.88,3.22,2.62,3.45,4.39
29-2099.07,Surgical Assistants,NA,3.88,3.62,3.62,3.68,4.1,3.5,3.12,3.12,4.51,3.75,5.25,3.86
29-9011.00,Occupational Health and Safety Specialists,NA,4.62,4,4,3.45,4.42,4,4,3.75,4.12,4.58,4.94,4.24
29-9012.00,Occupational Health and Safety Technicians,NA,3.88,3.88,3.75,3.27,3.96,3.88,3.25,3.25,3.81,3.81,4.42,4.08
29-9091.00,Athletic Trainers,NA,4.5,4,4.38,3.75,4.23,4,4,3.38,4.16,3.59,5.2,4.35
29-9092.00,Genetic Counselors,NA,4,4.62,4.62,3,4.13,4.12,3.88,3.75,3.52,4.65,4.7,3.39
29-9099.01,Midwives,0,5.12,4.5,4.38,3.88,4.22,4.12,3.38,3.25,4.57,4.88,6.13,4.3
31-1011.00,Home Health Aides,NA,3.5,3.12,3.12,3.29,3.33,3.25,3,3,3.03,2.89,3.74,3.24
31-1013.00,Psychiatric Aides,NA,4,3.12,3.12,3.8,3.76,3.25,3,3,3.45,2.73,3.59,3.18
31-1014.00,Nursing Assistants,NA,3.38,3,2.88,3.83,3.81,3,2.5,2.38,3.13,2.95,3.41,2.5
31-1015.00,Orderlies,NA,2.75,2.75,2.5,2.77,2.89,2.12,1.88,1.62,2.86,2.13,2.85,1.84
31-2011.00,Occupational Therapy Assistants,NA,4,3.38,3.38,3.82,3.78,3.25,3,3.12,3.72,3.85,4.18,4.38
31-2012.00,Occupational Therapy Aides,NA,3.5,3.12,3.12,3.65,3.57,3.5,3,3,3.65,3.62,4.21,3.78
31-2021.00,Physical Therapist Assistants,NA,3.75,3.5,3.38,3.75,3.91,3.62,3.12,3,3.56,3.39,3.5,3.69
31-2022.00,Physical Therapist Aides,NA,3,3,3,3.38,3.43,2.88,2.75,2.75,2.81,2.59,3.34,3.09
31-9011.00,Massage Therapists,NA,3.25,3.25,3.12,3.63,3.83,3.25,3.12,2.75,2.63,3.3,4.23,3.73
31-9091.00,Dental Assistants,0,3.25,3.12,3.12,3.4,3.59,3.25,3,2.88,3.89,3.21,4.01,3.27
31-9092.00,Medical Assistants,NA,3.62,3.5,3.25,3.75,4.22,3.75,3.38,3,4.41,3.66,3.72,3.6
31-9093.00,Medical Equipment Preparers,NA,3.12,3.12,2.62,3.63,3.93,2.88,3,2.5,5.14,4.3,5.36,4.23
31-9094.00,Medical Transcriptionists,NA,3,3.12,3.12,2.83,2.86,2.88,2.5,2.5,1.89,2.42,2.67,1.22
31-9095.00,Pharmacy Aides,NA,3,3,2.75,2.86,3.22,2.88,2.5,2.38,5.08,3.22,4.53,3.53
31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,NA,3.75,3,3,3.27,3.31,3.12,3,2.38,2.98,3.71,4.12,2.62
31-9097.00,Phlebotomists,NA,3.25,3.25,3.25,3.6,4,3.38,3,2.38,3.48,3,3.65,2.8
31-9099.01,Speech-Language Pathology Assistants,NA,3.5,3.12,3.25,4.44,4.39,3.5,2.75,3.12,3.77,3.4,4.2,3.79
31-9099.02,Endoscopy Technicians,NA,3.38,3.12,3,3.55,3.84,3.25,3,2.62,3.65,3.11,4.47,2.89
33-1011.00,First-Line Supervisors of Correctional Officers,NA,4,3.88,3.88,3.67,3.9,4,3.12,3.12,4.13,3.59,5.13,4.22
33-1012.00,First-Line Supervisors of Police and Detectives,NA,4,4.12,4,3.55,4.13,4.12,3.88,4,4.43,4.64,5.48,4.39
33-1021.01,Municipal Fire Fighting and Prevention Supervisors,NA,4.38,4,4,3.73,4.06,4.25,3.88,4,5.13,4.1,6.15,4.69
33-1021.02,Forest Fire Fighting and Prevention Supervisors,NA,4.38,4.25,4.12,3.48,4.18,4,3.88,4,4.09,3.07,5.72,4.35
33-2011.01,Municipal Firefighters,NA,4,3.88,3.62,3.68,3.91,3.88,3,2.88,4.26,3.54,4.81,3.72
33-2011.02,Forest Firefighters,NA,4,3.62,3.5,3.69,3.96,3.62,3,3,3.91,3.91,4.12,2.94
33-2021.01,Fire Inspectors,NA,4.5,3.88,4,3.43,3.78,4,3.75,3.62,3.74,3.96,4.07,3.02
33-2021.02,Fire Investigators,NA,4.25,4.25,4.38,3.68,4.42,4.12,3.5,3.38,4.81,5.05,5.74,4.08
33-2022.00,Forest Fire Inspectors and Prevention Specialists,NA,4,3.63,3.63,3.08,2.19,3.62,3.25,3.25,4.4,4.41,4.8,4.46
33-3011.00,Bailiffs,NA,3.5,3.12,2.88,2.9,3.54,3,2.12,2.25,3.58,2.55,3.8,2.42
33-3012.00,Correctional Officers and Jailers,NA,4,3.62,3.88,3.31,3.83,3.62,3,2.75,3.26,3.62,4.71,2.97
33-3021.01,Police Detectives,1,4.25,4.12,4.25,3.72,4,4.12,3.75,3.88,4.2,4.55,5.41,4.49
33-3021.02,Police Identification and Records Officers,NA,3.5,4,4,3.61,4.17,4,3.25,3.12,4.25,4.18,5,2.66
33-3021.03,Criminal Investigators and Special Agents,NA,4.25,4.25,4.12,3.69,4.08,4.12,3.62,3.88,4.58,4.45,5.18,4.47
33-3021.05,Immigration and Customs Inspectors,NA,4.12,4,4,2.97,3.84,3.88,3.12,3,5.15,5.23,5.26,3.91
33-3021.06,Intelligence Analysts,1,4.38,4.5,4.62,4.06,4.91,4.25,3.38,3.62,4.61,6.22,5.09,5.03
33-3031.00,Fish and Game Wardens,NA,4.12,3.75,4,3.74,3.68,4,3.5,3.25,3.88,4.12,5.78,4.78
33-3041.00,Parking Enforcement Workers,NA,3.12,3,2.75,3.44,3.34,3,2.38,2.38,4.44,3.57,3.47,4.03
33-3051.01,Police Patrol Officers,NA,4,4,4,3.23,3.84,4,3.12,3.25,5.05,4.74,6.04,3.87
33-3051.03,Sheriffs and Deputy Sheriffs,NA,4.12,4,4,3.14,3.91,3.88,3.25,3.62,4.45,3.94,4.99,4.04
33-3052.00,Transit and Railroad Police,NA,4,3.88,3.88,3.32,4.03,3.38,3,3,2.69,2.33,4.07,2.68
33-9011.00,Animal Control Workers,0,3.88,3.38,3.88,4.08,3.93,3.5,2.88,2.75,3.76,3.14,4.51,3.3
33-9021.00,Private Detectives and Investigators,NA,4.12,4,4.12,3.64,4.16,4.12,3.38,3,4.27,4.68,4.35,3.74
33-9031.00,Gaming Surveillance Officers and Gaming Investigators,NA,3.88,3.25,3.62,3.84,4.04,3.75,3,2.25,4.52,4.21,4.97,3.99
33-9032.00,Security Guards,NA,3.5,3,3,2.59,2.59,2.88,2.5,2.25,4,3.29,4.63,3.74
33-9091.00,Crossing Guards,0,3.12,2.62,2.62,2.63,3.13,2.5,1.62,1.88,2.35,2.17,2.79,1.89
33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",NA,4.12,3.12,3,2.61,3.18,3.38,2.75,2.62,2.43,1.6,3.45,1.62
33-9093.00,Transportation Security Screeners,NA,3.88,3.38,3.5,2.5,2.63,3.5,3,2.75,2.85,2.78,3.89,2.3
33-9099.02,Retail Loss Prevention Specialists,NA,3.62,3.12,3.5,3.68,4.17,3.62,3,2.88,4.07,4.86,5.23,3.6
35-1011.00,Chefs and Head Cooks,NA,3.75,3.75,3.38,3.81,3.48,3.88,3.5,3,3.35,2.56,3.81,4.52
35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,NA,3.12,3.12,3,3.29,3.54,4,3.25,3,2.89,2.63,3.62,2.9
35-2011.00,"Cooks, Fast Food",0,2.75,2.62,2.38,2.48,2.36,2.25,2.12,1.75,2.86,1.87,2.71,2.1
35-2012.00,"Cooks, Institution and Cafeteria",0,3,2.88,2.75,3.29,3.1,3,2.75,2.75,3.41,2.57,3.2,2.77
35-2013.00,"Cooks, Private Household",0,3.12,3.12,3,3.88,3.33,3,3.12,2.88,2.5,1.46,2.46,3.22
35-2014.00,"Cooks, Restaurant",0,3,2.88,2.88,3.67,3.22,3,2.75,2.12,2.89,3.04,3.23,3.21
35-2015.00,"Cooks, Short Order",0,2.88,2.88,2.75,3.28,3.32,2.75,2.62,2.12,2.9,2.82,3.43,3.03
35-2021.00,Food Preparation Workers,NA,2.25,2.12,2.12,2.99,3.17,2.12,2.12,2.12,3.11,2.49,3.19,3.19
35-3011.00,Bartenders,0,3.25,3,3,3.58,3.41,2.88,3,2.62,2.34,2.04,2.6,3
35-3021.00,"Combined Food Preparation and Serving Workers, Including Fast Food",NA,2.5,2.12,2,3.43,3.05,2.38,2,1.88,2.25,1.98,2.42,1.5
35-3022.00,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",0,2.75,2.5,2.12,2.96,3.38,2.5,2.12,2.5,1.76,0.59,1.72,1.42
35-3022.01,Baristas,0,2.75,2.62,2.5,2.54,2.65,2.75,2.62,2.25,2.54,2.02,2.64,2.51
35-3031.00,Waiters and Waitresses,0,2.88,2.25,2.25,2.86,2.86,2.75,2.12,2.12,2.98,1.78,2.7,2.55
35-3041.00,"Food Servers, Nonrestaurant",0,2.5,2.38,2.38,2.86,2.8,2.12,1.75,1.62,2.42,1.36,2.33,2.07
35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,0,2.12,2,2.12,2.66,2.91,2.12,1.62,1.75,3.14,2.56,2.66,2.87
35-9021.00,Dishwashers,0,2,2,2,2.33,2.46,2.12,2,2,2.79,2.18,2.85,2.48
35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",0,2.88,2.75,2.62,2.23,2.46,2.62,2.38,1.75,2.21,1.67,2.77,2.58
37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,NA,2.88,3,3,3.61,3.52,3.12,2.88,2.62,3.22,2.12,3.24,2.53
37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",NA,3.12,3.25,3.12,3.97,3.72,3.75,3,3.25,3.87,2.52,4.61,4.37
37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",NA,2.75,2.62,2.62,2.72,2.94,2.12,2,2,1.91,1.44,2.91,1.89
37-2012.00,Maids and Housekeeping Cleaners,0,2.25,2.38,2.38,3.29,2.74,2.12,1.25,2,2.37,2.44,2.73,2.3
37-2021.00,Pest Control Workers,NA,3,3,3,3.27,3.25,3.38,2.88,3,2.16,2.32,3.82,3.04
37-3011.00,Landscaping and Groundskeeping Workers,0,2.88,2.38,2.5,3.05,3.2,1.88,2,2.12,2.72,1.5,3.41,3.39
37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",NA,2.88,3,2.88,3.17,3.5,2.88,2.38,2.88,3.33,2.69,4.16,3.39
37-3013.00,Tree Trimmers and Pruners,NA,3.25,3,3,3.1,3.49,3,2.12,2.75,3.4,2.79,4.73,3.3
39-1011.00,Gaming Supervisors,NA,4,3.12,3.62,2.9,3.52,3.88,3.5,3,2.45,2.19,3.11,1.93
39-1012.00,Slot Supervisors,NA,3.12,3,3,2.55,2.88,3.75,2.25,2.88,3.81,2.99,3.62,2.89
39-1021.00,First-Line Supervisors of Personal Service Workers,NA,3.88,3.5,3.25,4.15,4.08,3.75,3,3.12,3.59,2.01,3.83,3.75
39-1021.01,Spa Managers,NA,3.62,3.88,3.5,4.03,3.88,4,3.88,3.12,4.53,4.15,4.8,3.97
39-2011.00,Animal Trainers,0,4,3.5,3.25,3.79,3.77,3.38,3.12,2.75,4.04,2.5,4.99,4.79
39-2021.00,Nonfarm Animal Caretakers,NA,3,2.5,2.62,3.61,3.34,2.75,2.12,2.38,3.05,1.55,3.48,2.8
39-3011.00,Gaming Dealers,NA,3,3.12,3,2.35,2.74,2.88,2.5,2.38,3.45,2.2,3.41,2.53
39-3012.00,Gaming and Sports Book Writers and Runners,NA,2.88,3.12,2.75,2.7,3.07,2.88,2.5,2.25,2.13,1.94,3.46,2.26
39-3021.00,Motion Picture Projectionists,NA,3,2.88,2.88,2.6,2.77,2.75,2.25,2.38,2.17,1.67,3.41,1.92
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",0,2.88,2.38,2.25,2.66,2.44,2.62,2.12,2.12,2.18,1.72,2.42,1.91
39-3091.00,Amusement and Recreation Attendants,0,3.12,2.5,2.38,2.57,2.4,2.62,1.75,1.88,3.11,0.44,3.23,1.57
39-3092.00,Costume Attendants,NA,3,2.88,2.88,4.07,3.69,2.88,2.25,2.38,2.86,2.17,3.36,4.49
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",0,2.88,2.62,2.38,2.96,2.6,2.75,2,2,2.25,0.9,2.23,1.79
39-4011.00,Embalmers,0,3.25,3.25,3,3.67,3.94,3.38,3.12,2.88,3.68,3.17,4.61,3.55
39-4021.00,Funeral Attendants,0,2.62,2.5,2.5,2.79,3,2.75,1.5,2,3.97,3.4,4.47,3.9
39-4031.00,"Morticians, Undertakers, and Funeral Directors",NA,3.25,3.75,3.12,3.73,3.54,3.88,3.25,3.25,3.97,3.29,4.24,4.04
39-5011.00,Barbers,0,2.88,2.88,2.88,3.49,3.29,2.75,2.5,2.12,3.26,2.35,3.91,4.45
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",0,3.12,3.12,3,3.93,3.23,3.5,3,2.88,2.31,2.89,4.09,4.44
39-5091.00,"Makeup Artists, Theatrical and Performance",NA,3.12,3.25,3,4.22,3.65,3.25,3.25,2.75,2.38,1.83,3.86,5.23
39-5092.00,Manicurists and Pedicurists,0,2.5,2.38,2.25,3.04,2.76,2.5,2.25,2,2.87,0.69,1.75,2.4
39-5093.00,Shampooers,0,2.25,2.38,2.38,3.25,3.23,2.12,2,1.88,2.3,1.63,2.85,2.9
39-5094.00,Skincare Specialists,NA,3,3,3,3.86,3.24,3,2.88,2.88,2.03,2.25,3.23,3.99
39-6011.00,Baggage Porters and Bellhops,0,2.75,2.25,2.12,2.85,2.87,2.75,2.12,2.12,3.58,2.62,3.84,2.93
39-6012.00,Concierges,NA,3.5,3,2.75,3.77,3.4,3.62,2.75,2.75,3.9,2.87,4.16,4.1
39-7011.00,Tour Guides and Escorts,NA,3.12,2.88,2.88,3.37,3.24,3.25,2.25,2.12,2.72,2.35,2.69,3.58
39-7012.00,Travel Guides,NA,3.38,3.38,3.25,4.03,3.34,3.5,2.88,3.12,3.86,2.4,3.71,3.71
39-9011.00,Childcare Workers,NA,3.38,3,3,3.74,3.61,3,3,2.88,2.78,1.76,3.05,3.6
39-9011.01,Nannies,0,4,3.25,3.12,3.52,3.65,3.25,3,3,2.14,1.18,3.14,3.41
39-9021.00,Personal Care Aides,NA,3,3,3,3.46,3.5,3,2.75,2.38,2.41,1.39,2.89,2.43
39-9031.00,Fitness Trainers and Aerobics Instructors,NA,2.88,2.88,2.88,3.96,3.28,3,2.88,2.75,2.08,2.08,3.08,4.04
39-9032.00,Recreation Workers,NA,3.12,3.25,3,3.95,3.92,3.62,3.12,3,3.55,3.31,4.14,4.53
39-9041.00,Residential Advisors,NA,3.62,3.25,3.12,3.51,3.37,4,3,3,4.58,3.05,5.07,4.7
41-1011.00,First-Line Supervisors of Retail Sales Workers,NA,3.62,3.62,3,4.1,4.09,3.88,3.38,3.5,3.22,3.48,4.01,2.89
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,NA,3.38,4,3.75,3.43,4.05,3.88,3.62,3.75,5.45,4.81,5.54,5.09
41-2011.00,Cashiers,0,2.75,2.75,2.88,3.47,3.48,2.62,2.25,2.12,2.69,1.68,2.56,2.23
41-2012.00,Gaming Change Persons and Booth Cashiers,NA,3,2.75,2.62,2.47,2.88,2.75,2,2.25,2.78,1.99,3.13,1.89
41-2021.00,Counter and Rental Clerks,NA,2.88,2.75,2.75,2.64,2.79,2.88,2.25,2.38,2.58,2.13,3.18,2.01
41-2022.00,Parts Salespersons,NA,3.12,3.12,2.88,3.07,3.59,3.12,3,3,4.37,3.29,4.49,3.11
41-2031.00,Retail Salespersons,NA,3.25,3,2.88,3.07,3.16,3.12,2.88,2.5,3.12,2.62,2.91,3.07
41-3011.00,Advertising Sales Agents,NA,3.12,3.62,3.25,3.78,3.63,3.75,3.62,3.12,3,3.44,4.31,4.76
41-3021.00,Insurance Sales Agents,NA,3.5,3.62,3.25,3,3.96,3.88,3.38,3.12,3.4,3.76,3.94,4.09
41-3031.01,"Sales Agents, Securities and Commodities",1,4.25,4.62,4,3.34,4.26,4.38,4.12,3.62,4.71,5.06,4.72,3.41
41-3031.02,"Sales Agents, Financial Services",1,3.62,4.25,3.5,3.95,4.24,4,3.62,3.12,3.46,5.36,4.87,4.1
41-3031.03,Securities and Commodities Traders,NA,3.62,4.5,4.12,2.93,3.61,4.25,3.5,3.38,3.46,4.3,4.33,3.34
41-3041.00,Travel Agents,NA,2.88,3.75,3,2.35,3.26,3.75,3.12,2.88,3.77,3.55,4.06,2.98
41-3099.01,Energy Brokers,NA,3.5,4.12,3.75,3.5,4.56,4.12,3.5,3.12,3.42,4.61,4.5,3.45
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",NA,3.62,3.88,3.25,3.79,3.62,3.75,3.75,3.12,2.76,3.12,3.47,2.87
41-4011.07,Solar Sales Representatives and Assessors,NA,3.38,3.75,3.38,2.96,3.41,3.75,3.38,3.12,3.79,3.43,4.68,3.99
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",NA,3,3.25,3.12,3.43,3.77,4,3.12,3,3.44,3.76,3.97,4.44
41-9011.00,Demonstrators and Product Promoters,NA,3,3,3,3.15,2.74,3,3,2.38,3.03,2.2,3.74,3.01
41-9012.00,Models,0,1.88,2.13,2,3.08,1.61,2,1.75,1.88,0.26,0.2,1.14,2.26
41-9021.00,Real Estate Brokers,NA,3.5,4,3.12,3.9,3.69,3.88,3.75,2.88,3.43,4.23,3.94,3.84
41-9022.00,Real Estate Sales Agents,NA,3.5,3.75,3.25,3.68,3.57,3.88,3.38,3.12,3.68,3.96,4.25,3.82
41-9031.00,Sales Engineers,NA,3.88,4,4,3.73,4.26,4,3.88,3.75,4.72,5.11,4.84,4.71
41-9041.00,Telemarketers,NA,2.63,2.63,2.75,2.68,2.92,3.38,1.5,2.25,1.91,1.35,2.43,1.92
41-9091.00,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers",0,2.88,2.88,2.88,2.38,2.42,3.12,2.62,2.25,2,1.08,2.21,2.54
43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,NA,3.62,3.62,3.25,3.62,4.03,3.88,3.75,3.25,3.85,4.03,4.21,3.81
43-2011.00,"Switchboard Operators, Including Answering Service",NA,2.62,2.62,2.5,2.86,3.21,2.75,2.25,2.25,2.22,2.86,3.28,2.44
43-2021.00,Telephone Operators,NA,2.88,2.75,2.88,3.4,3.4,3.25,2,2.62,3.75,2.64,3.27,2.53
43-3011.00,Bill and Account Collectors,0,3,2.88,3.12,3.5,4.22,3.5,2.75,2.88,1.78,2.02,3.37,2.12
